epoch,loss,top1,top5,learning_rate
1,6.144258,1.3158,4.0296,0.0003
2,5.934034,2.169,5.8799,0.0003
3,5.815132,2.8783,8.1414,0.0003
4,5.764651,2.9297,8.4601,0.0003
5,5.693281,3.0736,9.1283,0.0003
6,5.645081,3.3203,9.9815,0.0003
7,5.599965,4.1632,11.8729,0.0003
8,5.573456,4.0502,11.8318,0.0003
9,5.545953,4.852,13.1887,0.0003
10,5.485037,5.2529,14.5559,0.0003
11,5.428681,5.6127,15.1521,0.00029795419551040833
12,5.421974,5.9108,15.7689,0.00029187258625509513
13,5.352866,6.6612,17.4239,0.0002819210626809733
14,5.278433,6.764,18.2977,0.000268371076409459
15,5.279099,7.8331,19.4182,0.00025159223574386114
16,5.222365,9.0049,20.5387,0.000232042223718364
17,5.172805,9.8067,21.7722,0.00021025431369794538
18,5.156095,10.0226,22.2862,0.0001868228230711198
19,5.093717,9.6423,23.016,0.0001623869018208498
20,5.006949,10.9272,24.3421,0.0001376130981791501
21,4.996892,11.3795,25.6785,0.00011317717692888013
22,4.888839,12.9009,27.5802,8.974568630205456e-05
23,4.862831,13.1476,28.2484,6.795777628163592e-05
24,4.844725,13.3429,27.8372,4.8407764256138836e-05
25,4.810322,13.4252,29.0399,3.162892359054097e-05
26,4.794186,14.0111,29.5333,1.807893731902665e-05
27,4.795593,14.2681,29.1118,8.127413744904786e-06
28,4.706544,14.926,31.3014,2.045804489591651e-06
29,4.716047,14.3092,30.4071,0.0
30,4.773701,13.4766,29.5641,2.0458044895916513e-06
31,4.69442,14.9465,30.9827,8.127413744904853e-06
32,4.713253,14.227,30.6332,1.8078937319026752e-05
33,4.70391,14.7307,30.8697,3.1628923590541174e-05
34,4.746094,14.3298,30.2426,4.840776425613923e-05
35,4.783949,13.7952,30.2015,6.79577762816365e-05
36,4.708729,15.6558,31.25,8.974568630205536e-05
37,4.719223,14.597,31.0136,0.00011317717692888106
38,4.758258,14.4634,30.3762,0.00013761309817915122
39,4.790371,13.4868,29.7595,0.00016238690182085122
40,4.793927,13.8158,28.7829,0.00018682282307112138
41,4.810766,14.0728,28.8549,0.00021025431369794706
42,4.774031,14.8335,29.5436,0.00023204222371836595
43,4.770522,14.4223,30.3865,0.0002515922357438633
44,4.731492,14.9157,30.6743,0.00026837107640946133
45,4.776192,14.4634,29.338,0.0002819210626809756
46,4.771914,14.412,29.6053,0.0002918725862550976
47,4.800494,14.5045,30.1809,0.0002979541955104109
48,4.757441,15.2961,30.8902,0.0003000000000000025
49,4.756941,15.2858,30.2837,0.0002979541955104109
50,4.726564,15.8717,31.507,0.0002918725862550976
51,4.686206,16.5193,32.7508,0.0002819210626809758
52,4.619107,17.2492,32.7611,0.00026837107640946133
53,4.524139,17.6912,34.56,0.00025159223574386337
54,4.606031,17.7015,33.4498,0.0002320422237183661
55,4.518345,18.5855,35.2796,0.00021025431369794715
56,4.527264,18.6266,35.5777,0.0001868228230711216
57,4.446307,19.521,35.9169,0.0001623869018208512
58,4.406067,19.6443,37.4383,0.00013761309817915133
59,4.435753,19.3359,36.4104,0.00011317717692888116
60,4.335349,21.9984,39.0317,8.974568630205535e-05
61,4.246538,21.1451,40.0699,6.795777628163671e-05
62,4.249212,22.2348,39.4223,4.840776425613914e-05
63,4.231484,22.5021,40.2652,3.162892359054126e-05
64,4.235953,21.875,39.5765,1.807893731902679e-05
65,4.2219,22.8207,40.1213,8.12741374490484e-06
66,4.139868,24.0851,41.9511,2.045804489591685e-06
67,4.197596,22.831,41.0362,0.0
68,4.158694,22.8207,40.8923,2.0458044895916513e-06
69,4.189982,22.4815,40.7586,8.127413744904736e-06
70,4.124017,23.273,41.9613,1.8078937319026586e-05
71,4.186214,23.3861,40.5222,3.162892359054092e-05
72,4.128168,24.229,42.0127,4.8407764256138646e-05
73,4.180286,22.9749,41.1493,6.795777628163603e-05
74,4.187953,23.3758,41.2726,8.974568630205447e-05
75,4.199644,23.0263,41.0053,0.00011317717692888007
76,4.241982,23.1086,40.5942,0.00013761309817915014
77,4.29399,22.4301,39.6176,0.00016238690182084962
78,4.237188,22.3993,40.5736,0.00018682282307111998
79,4.315588,21.7619,38.4149,0.0002102543136979453
80,4.295076,21.7928,39.1139,0.00023204222371836372
81,4.288226,22.1525,39.0625,0.00025159223574386114
82,4.360802,21.4535,37.9523,0.00026837107640945883
83,4.302889,21.8236,39.6896,0.00028192106268097307
84,4.346397,21.5358,37.9112,0.0002918725862550951
85,4.377841,21.7002,38.8261,0.00029795419551040817
86,4.272236,22.6665,40.0185,0.00029999999999999987
87,4.297589,22.0086,39.7718,0.0002979541955104082
88,4.284734,22.3993,39.7101,0.0002918725862550951
89,4.236086,22.8721,40.4091,0.0002819210626809731
90,4.203486,23.2216,41.1287,0.00026837107640945894
91,4.189682,23.715,41.1493,0.0002515922357438612
92,4.205161,23.0469,40.6044,0.00023204222371836408
93,4.185189,24.4449,42.3725,0.00021025431369794517
94,4.057493,24.6711,43.1949,0.0001868228230711198
95,4.096884,24.486,42.6912,0.00016238690182084975
96,4.058285,24.7944,43.0304,0.00013761309817915027
97,3.992978,26.1924,44.0892,0.00011317717692888019
98,3.928682,27.4568,45.3331,8.974568630205482e-05
99,3.941499,27.6316,45.1994,6.795777628163591e-05
100,3.892488,28.4951,46.2685,4.840776425613874e-05
