epoch,loss,top1,top5,learning_rate
1,6.145575,1.5008,3.896,0.0003
2,5.943716,1.8195,5.6641,0.0003
3,5.815089,2.4568,7.7508,0.0003
4,5.754002,3.125,8.7479,0.0003
5,5.683885,3.2792,9.5395,0.0003
6,5.622912,3.4334,10.2179,0.0003
7,5.57448,3.9576,11.6057,0.0003
8,5.548914,4.1324,12.6645,0.0003
9,5.528007,4.8828,13.3943,0.0003
10,5.450078,5.1295,14.8849,0.0003
11,5.415762,5.3146,15.1213,0.00029795419551040833
12,5.386061,6.2706,16.396,0.00029187258625509513
13,5.302855,7.1238,18.7294,0.0002819210626809733
14,5.245508,7.021,18.9453,0.000268371076409459
15,5.237652,8.2237,20.1069,0.00025159223574386114
16,5.187501,9.1797,21.5049,0.000232042223718364
17,5.12085,9.6114,22.7899,0.00021025431369794538
18,5.040431,10.5469,23.4683,0.0001868228230711198
19,5.051744,10.4749,23.972,0.0001623869018208498
20,4.917594,12.5,26.6961,0.0001376130981791501
21,4.901429,12.7056,26.5317,0.00011317717692888013
22,4.82777,13.4971,29.1118,8.974568630205456e-05
23,4.805698,13.8158,28.896,6.795777628163592e-05
24,4.800388,14.1447,28.9679,4.8407764256138836e-05
25,4.747264,14.3709,30.4379,3.162892359054097e-05
26,4.73455,14.1447,30.3248,1.807893731902665e-05
27,4.750206,15.0699,30.2323,8.127413744904786e-06
28,4.647686,15.9025,32.0415,2.045804489591651e-06
29,4.674542,14.9054,30.9416,0.0
30,4.710001,14.8129,31.1472,2.0458044895916513e-06
31,4.656543,15.9025,31.7845,8.127413744904853e-06
32,4.675272,14.9774,31.0444,1.8078937319026752e-05
33,4.641044,15.697,32.3396,3.1628923590541174e-05
34,4.682595,15.3783,31.2192,4.840776425613923e-05
35,4.707869,14.9054,31.3322,6.79577762816365e-05
36,4.635237,16.324,32.0518,8.974568630205536e-05
37,4.667588,15.5942,32.3294,0.00011317717692888106
38,4.708414,15.697,32.0518,0.00013761309817915122
39,4.682999,15.2035,31.9285,0.00016238690182085122
40,4.72542,14.854,31.0547,0.00018682282307112138
41,4.747473,14.5456,30.222,0.00021025431369794706
42,4.716779,15.9334,31.2089,0.00023204222371836595
43,4.768332,15.6558,30.9827,0.0002515922357438633
44,4.627273,16.5502,32.905,0.00026837107640946133
45,4.711784,16.2521,30.9005,0.0002819210626809756
46,4.707391,16.2521,31.5687,0.0002918725862550976
47,4.668016,17.0641,32.4219,0.0002979541955104109
48,4.67741,16.653,32.5041,0.0003000000000000025
49,4.640815,17.2697,33.4601,0.0002979541955104109
50,4.655361,16.8688,32.7405,0.0002918725862550976
51,4.592923,18.3388,34.5703,0.0002819210626809758
52,4.602059,17.722,33.8199,0.00026837107640946133
53,4.443023,18.8425,36.2253,0.00025159223574386337
54,4.496471,19.6752,35.7113,0.0002320422237183661
55,4.431241,19.706,37.6748,0.00021025431369794715
56,4.4313,19.8396,37.0066,0.0001868228230711216
57,4.348018,21.2582,38.3429,0.0001623869018208512
58,4.330718,21.5563,38.4252,0.00013761309817915133
59,4.335757,21.5666,38.0243,0.00011317717692888116
60,4.225319,23.5197,40.2858,8.974568630205535e-05
61,4.177442,23.3655,41.6221,6.795777628163671e-05
62,4.196068,23.1805,40.44,4.840776425613914e-05
63,4.144002,23.9309,41.5502,3.162892359054126e-05
64,4.154403,23.3141,41.4062,1.807893731902679e-05
65,4.157006,24.3729,41.509,8.12741374490484e-06
66,4.029497,25.2056,43.9453,2.045804489591685e-06
67,4.08233,24.9383,42.7734,0.0
68,4.063094,24.4757,42.5987,2.0458044895916513e-06
69,4.114606,23.5711,41.7558,8.127413744904736e-06
70,4.044016,25.1336,42.9585,1.8078937319026586e-05
71,4.067382,24.815,42.4856,3.162892359054092e-05
72,4.028732,25.8429,43.678,4.8407764256138646e-05
73,4.096305,24.486,42.4959,6.795777628163603e-05
74,4.100463,24.5271,42.2697,8.974568630205447e-05
75,4.095776,25.2467,42.2697,0.00011317717692888007
76,4.145923,24.1468,41.3857,0.00013761309817915014
77,4.208704,23.7356,40.8923,0.00016238690182084962
78,4.125755,24.8355,42.8248,0.00018682282307111998
79,4.207061,23.6637,39.9465,0.0002102543136979453
80,4.228403,23.1394,40.5222,0.00023204222371836372
81,4.188505,24.2188,40.81,0.00025159223574386114
82,4.219417,23.16,40.5325,0.00026837107640945883
83,4.198324,23.2627,41.1595,0.00028192106268097307
84,4.281333,22.2553,39.5045,0.0002918725862550951
85,4.27654,23.0674,39.9774,0.00029795419551040817
86,4.164793,24.229,41.6427,0.00029999999999999987
87,4.213161,23.5917,40.882,0.0002979541955104082
88,4.177337,24.5066,41.5707,0.0002918725862550951
89,4.084706,25.8635,42.9482,0.0002819210626809731
90,4.115143,24.5374,42.2389,0.00026837107640945894
91,4.134189,24.6813,42.0744,0.0002515922357438612
92,4.082426,25.1336,43.2977,0.00023204222371836408
93,4.064435,26.3158,43.9762,0.00021025431369794517
94,3.914914,27.7138,45.5592,0.0001868228230711198
95,3.969413,26.9942,44.7882,0.00016238690182084975
96,3.918048,27.6933,45.4359,0.00013761309817915027
97,3.84372,28.8343,46.7825,0.00011317717692888019
98,3.761192,30.0473,48.345,8.974568630205482e-05
99,3.816489,29.6258,47.317,6.795777628163591e-05
100,3.783522,30.0884,47.9235,4.840776425613874e-05
