epoch,loss,top1,top5,learning_rate
1,5.176615,11.1534,23.4272,0.0003
2,4.502534,19.5826,36.03,0.0003
3,4.274634,23.9206,41.139,0.0003
4,4.016043,27.3746,45.9087,0.0003
5,3.819237,30.3968,48.7253,0.0003
6,3.774498,30.6538,48.7664,0.0003
7,3.591594,32.9667,51.7475,0.0003
8,3.488413,34.4572,53.2278,0.0003
9,3.424526,36.0506,54.3483,0.0003
10,3.305897,37.6645,56.8154,0.0003
11,3.302594,37.7467,56.3322,0.00029795419551040833
12,3.23978,38.8877,56.6817,0.00029187258625509513
13,3.06489,40.8409,59.889,0.0002819210626809733
14,3.050168,41.6941,60.3207,0.000268371076409459
15,3.020965,41.3035,61.0095,0.00025159223574386114
16,2.894159,43.6369,62.9934,0.000232042223718364
17,2.809975,45.1891,63.6308,0.00021025431369794538
18,2.784596,45.2097,64.0933,0.0001868228230711198
19,2.782963,45.1789,64.0008,0.0001623869018208498
20,2.648708,47.5123,66.4268,0.0001376130981791501
21,2.659361,46.6797,65.9642,0.00011317717692888013
22,2.584952,47.132,67.095,8.974568630205456e-05
23,2.580325,47.9749,67.3931,6.795777628163592e-05
24,2.511898,48.4992,68.5855,4.8407764256138836e-05
25,2.488453,48.6842,68.9042,3.162892359054097e-05
26,2.481868,49.1879,69.3873,1.807893731902665e-05
27,2.516646,48.5917,68.5341,8.127413744904786e-06
28,2.441896,49.8355,69.634,2.045804489591651e-06
29,2.491978,48.9309,68.7089,0.0
30,2.466564,50.3084,69.9013,2.0458044895916513e-06
31,2.485931,49.5374,69.1098,8.127413744904853e-06
32,2.481017,49.3318,68.7706,1.8078937319026752e-05
33,2.484447,49.5477,69.0687,3.1628923590541174e-05
34,2.479949,49.3832,69.192,4.840776425613923e-05
35,2.406182,51.655,70.2097,6.79577762816365e-05
36,2.458445,49.1468,69.3359,8.974568630205536e-05
37,2.457443,49.5683,69.264,0.00011317717692888106
38,2.415343,51.0485,70.1891,0.00013761309817915122
39,2.549533,48.1497,67.8865,0.00016238690182085122
40,2.505891,48.9412,68.6061,0.00018682282307112138
41,2.528422,48.5814,68.4416,0.00021025431369794706
42,2.569449,48.7664,67.5987,0.00023204222371836595
43,2.56853,47.8721,68.1846,0.0002515922357438633
44,2.574519,48.8898,67.6398,0.00026837107640946133
45,2.574747,49.1468,67.7426,0.0002819210626809756
46,2.504928,49.8252,68.4622,0.0002918725862550976
47,2.526197,50.0514,69.1406,0.0002979541955104109
48,2.454472,50.2364,70.0863,0.0003000000000000025
49,2.507216,50.0617,69.3359,0.0002979541955104109
50,2.476888,50.9868,69.3257,0.0002918725862550976
51,2.449505,50.7915,69.4387,0.0002819210626809758
52,2.378618,51.2747,70.6723,0.00026837107640946133
53,2.466478,50.3289,69.1303,0.00025159223574386337
54,2.393379,52.4054,70.4564,0.0002320422237183661
55,2.30136,53.5979,71.803,0.00021025431369794715
56,2.385531,50.8326,70.4975,0.0001868228230711216
57,2.289998,53.197,71.7722,0.0001623869018208512
58,2.181456,54.8623,73.8384,0.00013761309817915133
59,2.200514,55.037,72.7693,0.00011317717692888116
60,2.086053,56.9799,75.5962,8.974568630205535e-05
61,2.098253,56.1883,75.1336,6.795777628163671e-05
62,2.082316,56.5378,74.8252,4.840776425613914e-05
63,1.990432,58.6143,76.9737,3.162892359054126e-05
64,1.999157,58.6349,76.727,1.807893731902679e-05
65,2.015768,58.4704,76.0999,8.12741374490484e-06
66,1.94059,59.8479,77.3849,2.045804489591685e-06
67,1.951647,59.4778,76.8606,0.0
68,1.930848,59.5806,77.3129,2.0458044895916513e-06
69,1.989946,58.0592,76.7681,8.127413744904736e-06
70,1.932587,59.3544,77.5288,1.8078937319026586e-05
71,1.963968,58.5218,77.0662,3.162892359054092e-05
72,1.947931,58.861,77.4877,4.8407764256138646e-05
73,2.003991,58.1003,75.9046,6.795777628163603e-05
74,1.996783,57.8639,76.84,8.974568630205447e-05
75,1.994862,57.5966,76.7578,0.00011317717692888007
76,2.033049,57.2471,76.2644,0.00013761309817915014
77,2.135714,56.3117,74.4038,0.00016238690182084962
78,2.084899,56.5687,75.4729,0.00018682282307111998
79,2.14872,55.8799,74.2496,0.0002102543136979453
80,2.15528,55.7874,74.6094,0.00023204222371836372
81,2.184273,55.6743,73.8487,0.00025159223574386114
82,2.190615,55.1809,73.7767,0.00026837107640945883
83,2.166396,55.0164,73.9618,0.00028192106268097307
84,2.211377,54.6875,73.5403,0.0002918725862550951
85,2.131418,57.0312,74.6299,0.00029795419551040817
86,2.135387,56.2294,74.7122,0.00029999999999999987
87,2.16374,55.6332,73.8487,0.0002979541955104082
88,2.062039,57.8022,75.6887,0.0002918725862550951
89,2.178417,55.1706,73.7664,0.0002819210626809731
90,2.051907,57.7817,75.6887,0.00026837107640945894
91,2.050617,57.1649,76.2233,0.0002515922357438612
92,2.048601,57.7919,75.7812,0.00023204222371836408
93,2.004298,58.0695,76.912,0.00021025431369794517
94,1.960964,59.5395,77.4157,0.0001868228230711198
95,1.937791,59.7862,77.5905,0.00016238690182084975
96,1.839157,61.4823,78.9371,0.00013761309817915027
97,1.83232,61.9243,79.4305,0.00011317717692888019
98,1.786043,62.7775,79.8006,8.974568630205482e-05
99,1.771085,63.1682,79.9959,6.795777628163591e-05
100,1.784125,63.2299,80.0781,4.840776425613874e-05
